"","타임스탬프","당신의성별은","당신의연령대는","이성교제의경험의유무","현재이성교제를하고있습니까","지금까지교제한이성은몇명입니까","a1","a2","a3","역a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","역a12","a13","b14","b15","b16","b17","b18","b19","b20","역b20","b21","d22","d23","d24","d25","d26","d27","d28","e29","e30","e31","역e31","e32","e33","e34","e35","L1","L2","L3","L4","E1","E2","E3","E4","S1","S2","S3","S4","역역a3","역역a12","역역b20","역역e31","a","b","d","e","유희적태도","루두스","에로스","스토르게"
"1","2014. 11. 27 오전 7:23:04","남자","20대",1,"N","3",2,2,2,4,3,2,2,3,2,2,3,4,3,3,3,4,2,4,2,2,2,3,3,3,3,4,4,2,4,4,4,2,3,3,3,3,3,3,4,3,2,2,2,3,2,3,2,3,3,4,3,2,3,3,3,2.63636363636364,3.25,4,3,3.04166666666667,2.25,2.5,3.25
"2","2014. 11. 27 오전 7:29:36","남자","20대",1,"Y","2",2,2,2,4,3,2,3,2,2,2,2,2,2,2,3,3,2,2,4,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,5,2,4,4,4,5,2,2,4,3,2,4,3,3,2.27272727272727,2.25,3,2.2,2.375,2.75,4.25,2.75
"3","2014. 11. 27 오전 8:44:35","남자","20대",1,"Y","10",2,2,3,3,2,3,4,2,2,3,3,3,3,2,3,4,2,3,1,2,2,2,4,2,2,2,3,3,2,3,2,2,3,3,2,2,3,2,2,3,2,4,2,3,3,3,2,4,4,3,3,3,4,2,4,2.81818181818182,2.75,2.5,2.4,2.66666666666667,2.75,2.75,3.5
"4","2014. 11. 27 오전 9:02:05","남자","20대",1,"N","1",2,2,2,4,2,2,2,1,3,1,1,2,2,3,3,2,4,1,2,3,4,2,4,2,4,4,2,4,4,2,4,2,2,2,4,2,2,3,2,4,1,2,1,3,2,2,3,3,3,3,3,2,3,2,2,1.90909090909091,2.25,3,2,2.16666666666667,2,2.5,3
"5","2014. 11. 27 오전 9:07:01","남자","20대",1,"N","1",2,1,3,4,3,2,1,2,2,2,2,2,2,4,2,4,2,3,1,1,2,1,3,1,2,2,2,2,2,4,3,2,2,2,4,2,2,3,3,3,1,3,2,2,3,3,3,3,3,3,4,2,2,3,2,2.09090909090909,2.5,2.5,2.2,2.25,2.25,2.75,3.25
"6","2014. 11. 27 오전 9:08:22","남자","20대",1,"N","5",1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,2,3,2,2,2,3,2,4,2,3,3,2,2,2,3,2,2,1,1,5,2,1,3,1,3,1,5,1,3,4,4,4,3,3,3,5,1,1,2,1,1,2.25,2.5,1.4,1.54166666666667,2.5,3.75,3.5
"7","2014. 11. 27 오전 9:12:56","남자","20대",1,"Y","3",2,2,2,4,2,1,4,1,1,1,1,1,1,4,1,2,4,3,2,1,2,2,4,2,3,3,2,4,2,2,3,3,2,3,2,2,2,2,1,3,1,1,1,2,4,4,5,3,4,4,4,2,2,2,4,1.45454545454545,2.25,2.25,2,1.83333333333333,1.5,3.75,3.75
"8","2014. 11. 27 오전 9:13:57","남자","20대",1,"N","1명",1,1,2,4,2,2,2,3,3,2,2,2,2,4,2,3,4,4,2,2,2,2,4,1,3,2,3,3,2,2,3,3,2,2,3,2,1,2,2,4,1,3,1,4,2,2,4,3,2,3,2,2,2,2,3,2.18181818181818,2.5,2.25,2,2.20833333333333,2.25,3,2.5
"9","2014. 11. 27 오전 9:16:02","남자","20대",1,"N","4",3,2,1,4,2,1,1,4,2,2,4,3,4,3,3,2,3,3,3,3,4,4,2,4,3,2,2,4,4,4,3,2,3,3,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,3,3,2,3,4,3,2.45454545454545,3.25,3,2.4,2.66666666666667,2.25,2.75,2.5
"10","2014. 11. 27 오전 9:18:50","남자","20대",1,"Y","3",1,1,2,4,2,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1,4,1,2,2,2,3,2,1,2,2,2,2,5,2,2,4,2,2,1,4,1,4,5,4,4,1,1,1,1,2,1,2,1,1.27272727272727,1,1.75,2,1.45833333333333,2,4.25,1
